"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"202","2004","12","Uttar Pradesh","Shahjahanpur","75705.0","68.78","218.16","131.63","25408.0","23.09","73.22","44.18","8948.0","8.13","25.79","15.56","110061.0","317.17","191.36"
"202","2005","12","Uttar Pradesh","Shahjahanpur","77193.0","67.37","222.37","139.19","28065.0","24.49","80.85","50.6","9328.0","8.14","26.87","16.82","114586.0","330.09","206.61"
"202","2006","12","Uttar Pradesh","Shahjahanpur","86350.0","70.58","248.35","142.75","28691.0","23.45","82.52","47.43","7309.0","5.97","21.02","12.08","122350.0","351.88","202.26"
"202","2007","12","Uttar Pradesh","Shahjahanpur","87348.0","69.15","249.59","142.6","28677.0","22.7","81.94","46.82","10283.0","8.14","29.38","16.79","126308.0","360.92","206.2"
"202","2008","12","Uttar Pradesh","Shahjahanpur","91826.0","64.68","262.07","149.94","35093.0","24.72","100.15","57.3","15041.0","10.6","42.93","24.56","141960.0","405.15","231.81"
"202","2009","12","Uttar Pradesh","Shahjahanpur","92208.0","63.95","263.28","153.34","39557.0","27.43","112.95","65.78","12422.0","8.62","35.47","20.66","144188.0","411.7","239.78"
"202","2010","12","Uttar Pradesh","Shahjahanpur","83985.0","76.14","239.83","140.09","20135.0","18.25","57.5","33.59","6180.0","5.6","17.65","10.31","110300.0","314.98","183.98"
"202","2011","12","Uttar Pradesh","Shahjahanpur","101144.0","81.87","288.72","162.64","19002.0","15.38","54.24","30.55","3402.0","2.75","9.71","5.47","123548.0","352.67","198.66"
"202","2012","12","Uttar Pradesh","Shahjahanpur","90047.0","76.0","256.39","150.06","25420.0","21.45","72.38","42.36","3015.0","2.54","8.58","5.02","118482.0","337.35","197.45"
"202","2013","12","Uttar Pradesh","Shahjahanpur","72239.0","77.5","205.62","119.45","18438.0","19.78","52.48","30.49","2532.0","2.72","7.21","4.19","93209.0","265.31","154.13"
"202","2014","12","Uttar Pradesh","Shahjahanpur","76892.0","74.24","218.62","134.71","22163.0","21.4","63.01","38.83","4523.0","4.37","12.86","7.92","103578.0","294.5","181.46"
"202","2015","12","Uttar Pradesh","Shahjahanpur","71482.0","69.29","196.11","123.87","26779.0","25.96","73.47","46.4","4899.0","4.75","13.44","8.49","103160.0","283.01","178.76"
"202","2016","12","Uttar Pradesh","Shahjahanpur","70121.0","67.87","192.32","115.54","27408.0","26.53","75.17","45.16","5781.0","5.6","15.86","9.53","103311.0","283.34","170.22"
"202","2017","12","Uttar Pradesh","Shahjahanpur","109135.0","72.17","-1.0","-1.0","34321.0","22.7","-1.0","-1.0","7757.0","5.13","-1.0","-1.0","151213.0","-1.0","-1.0"
"203","1966","12","Uttar Pradesh","Pilibhit","798.0","89.56","3.95","3.07","60.0","6.73","0.3","0.23","33.0","3.7","0.16","0.13","891.0","4.41","3.42"
"203","1967","12","Uttar Pradesh","Pilibhit","1146.0","71.4","5.63","4.32","332.0","20.69","1.63","1.25","127.0","7.91","0.62","0.48","1605.0","7.88","6.05"
"203","1968","12","Uttar Pradesh","Pilibhit","2245.0","62.03","10.94","8.32","894.0","24.7","4.35","3.31","480.0","13.26","2.34","1.78","3619.0","17.63","13.42"
"203","1969","12","Uttar Pradesh","Pilibhit","3863.0","66.25","18.81","13.51","1117.0","19.16","5.44","3.91","851.0","14.59","4.14","2.98","5831.0","28.39","20.4"
"203","1970","12","Uttar Pradesh","Pilibhit","4336.0","76.47","22.44","15.43","833.0","14.69","4.31","2.96","501.0","8.84","2.59","1.78","5670.0","29.35","20.17"
"203","1971","12","Uttar Pradesh","Pilibhit","4296.0","74.29","21.68","15.35","893.0","15.44","4.51","3.19","594.0","10.27","3.0","2.12","5783.0","29.18","20.67"
"203","1972","12","Uttar Pradesh","Pilibhit","4296.0","74.29","21.13","15.43","893.0","15.44","4.39","3.21","594.0","10.27","2.92","2.13","5783.0","28.45","20.76"
"203","1973","12","Uttar Pradesh","Pilibhit","4748.0","66.75","23.0","16.22","1262.0","17.74","6.11","4.31","1103.0","15.51","5.34","3.77","7113.0","34.46","24.29"
"203","1974","12","Uttar Pradesh","Pilibhit","4041.0","78.47","19.3","13.15","662.0","12.85","3.16","2.15","447.0","8.68","2.13","1.46","5150.0","24.59","16.76"
"203","1975","12","Uttar Pradesh","Pilibhit","5480.0","80.26","26.38","17.83","722.0","10.57","3.48","2.35","626.0","9.17","3.01","2.04","6828.0","32.87","22.21"
"203","1976","12","Uttar Pradesh","Pilibhit","8210.0","79.34","38.69","25.9","1219.0","11.78","5.74","3.85","919.0","8.88","4.33","2.9","10348.0","48.77","32.64"
"203","1977","12","Uttar Pradesh","Pilibhit","9411.0","74.74","43.65","28.87","2134.0","16.95","9.9","6.55","1046.0","8.31","4.85","3.21","12591.0","58.4","38.62"
"203","1978","12","Uttar Pradesh","Pilibhit","11339.0","69.18","52.54","33.33","3679.0","22.45","17.05","10.81","1372.0","8.37","6.36","4.03","16390.0","75.95","48.18"
"203","1979","12","Uttar Pradesh","Pilibhit","13342.0","72.7","62.37","40.74","3545.0","19.32","16.57","10.82","1466.0","7.99","6.85","4.48","18353.0","85.8","56.04"
"203","1980","12","Uttar Pradesh","Pilibhit","16720.0","74.7","76.7","48.41","3830.0","17.11","17.57","11.09","1834.0","8.19","8.41","5.31","22384.0","102.68","64.81"
"203","1981","12","Uttar Pradesh","Pilibhit","19856.0","75.55","90.34","57.04","4119.0","15.67","18.74","11.83","2308.0","8.78","10.5","6.63","26283.0","119.58","75.5"
"203","1982","12","Uttar Pradesh","Pilibhit","28250.0","73.4","128.18","82.0","6684.0","17.37","30.33","19.4","3552.0","9.23","16.12","10.31","38486.0","174.62","111.72"
"203","1983","12","Uttar Pradesh","Pilibhit","29372.0","78.36","133.33","81.75","5712.0","15.24","25.93","15.9","2401.0","6.41","10.9","6.68","37485.0","170.15","104.33"
"203","1984","12","Uttar Pradesh","Pilibhit","31692.0","78.76","143.53","86.33","6239.0","15.5","28.26","17.0","2309.0","5.74","10.46","6.29","40240.0","182.25","109.62"
"203","1985","12","Uttar Pradesh","Pilibhit","17604.0","82.47","80.42","48.67","2300.0","10.77","10.51","6.36","1442.0","6.76","6.59","3.99","21346.0","97.51","59.02"
"203","1986","12","Uttar Pradesh","Pilibhit","28894.0","75.14","131.64","81.16","5952.0","15.48","27.12","16.72","3609.0","9.38","16.44","10.14","38455.0","175.19","108.02"
"203","1987","12","Uttar Pradesh","Pilibhit","26583.0","72.96","123.18","78.32","5787.0","15.88","26.82","17.05","4065.0","11.16","18.84","11.98","36435.0","168.84","107.35"
"203","1988","12","Uttar Pradesh","Pilibhit","36088.0","72.65","165.62","100.3","8639.0","17.39","39.65","24.01","4944.0","9.95","22.69","13.74","49671.0","227.95","138.05"
"203","1989","12","Uttar Pradesh","Pilibhit","39243.0","73.52","179.6","108.71","9964.0","18.67","45.6","27.6","4167.0","7.81","19.07","11.54","53374.0","244.27","147.85"
"203","1990","12","Uttar Pradesh","Pilibhit","41233.0","74.78","188.45","114.17","9721.0","17.63","44.43","26.92","4186.0","7.59","19.13","11.59","55140.0","252.01","152.67"
"203","1991","12","Uttar Pradesh","Pilibhit","39839.0","78.47","182.53","111.15","7157.0","14.1","32.79","19.97","3773.0","7.43","17.29","10.53","50769.0","232.61","141.64"
"203","1992","12","Uttar Pradesh","Pilibhit","41609.0","84.77","190.67","111.82","5519.0","11.24","25.29","14.83","1954.0","3.98","8.95","5.25","49082.0","224.91","131.9"
"203","1993","12","Uttar Pradesh","Pilibhit","43669.0","85.2","197.29","115.53","6014.0","11.73","27.17","15.91","1569.0","3.06","7.09","4.15","51252.0","231.55","135.59"
"203","1994","12","Uttar Pradesh","Pilibhit","50044.0","82.63","227.7","133.58","7379.0","12.18","33.57","19.7","3139.0","5.18","14.28","8.38","60562.0","275.56","161.65"
"203","1995","12","Uttar Pradesh","Pilibhit","52968.0","83.51","241.2","144.92","6840.0","10.78","31.15","18.71","3620.0","5.71","16.48","9.9","63428.0","288.83","173.53"
"203","1996","12","Uttar Pradesh","Pilibhit","54101.0","81.04","247.36","150.25","7680.0","11.5","35.11","21.33","4978.0","7.46","22.76","13.82","66759.0","305.24","185.4"
"203","1997","12","Uttar Pradesh","Pilibhit","56767.0","78.2","258.93","155.4","10155.0","13.99","46.32","27.8","5672.0","7.81","25.87","15.53","72594.0","331.12","198.72"
"203","1998","12","Uttar Pradesh","Pilibhit","56960.0","84.84","256.57","154.38","8182.0","12.19","36.85","22.18","2000.0","2.98","9.01","5.42","67142.0","302.43","181.97"
"203","1999","12","Uttar Pradesh","Pilibhit","54505.0","78.63","245.46","148.9","10471.0","15.11","47.16","28.61","4338.0","6.26","19.54","11.85","69314.0","312.15","189.36"
"203","2000","12","Uttar Pradesh","Pilibhit","49003.0","78.07","219.83","133.1","9130.0","14.54","40.96","24.8","4639.0","7.39","20.81","12.6","62772.0","281.6","170.49"
"203","2001","12","Uttar Pradesh","Pilibhit","53713.0","72.31","240.6","148.3","13697.0","18.44","61.35","37.82","6870.0","9.25","30.77","18.97","74280.0","332.72","205.08"
"203","2002","12","Uttar Pradesh","Pilibhit","53965.0","70.47","229.24","140.47","12991.0","16.96","55.18","33.81","9622.0","12.56","40.87","25.05","76578.0","325.3","199.33"
"203","2003","12","Uttar Pradesh","Pilibhit","49810.0","68.18","207.46","124.86","14774.0","20.22","61.54","37.03","8470.0","11.59","35.28","21.23","73054.0","304.28","183.12"
"203","2004","12","Uttar Pradesh","Pilibhit","50167.0","66.96","213.39","119.63","14057.0","18.76","59.79","33.52","10697.0","14.28","45.5","25.51","74921.0","318.69","178.66"
"203","2005","12","Uttar Pradesh","Pilibhit","51567.0","65.12","219.4","126.13","16267.0","20.54","69.21","39.79","11355.0","14.34","48.31","27.77","79189.0","336.92","193.7"
"203","2006","12","Uttar Pradesh","Pilibhit","57169.0","69.32","242.92","144.61","16409.0","19.9","69.72","41.51","8892.0","10.78","37.78","22.49","82470.0","350.43","208.61"
"203","2007","12","Uttar Pradesh","Pilibhit","59831.0","70.92","250.33","149.39","18096.0","21.45","75.71","45.18","6435.0","7.63","26.92","16.07","84362.0","352.96","210.65"
"203","2008","12","Uttar Pradesh","Pilibhit","62904.0","67.33","265.95","153.85","21291.0","22.79","90.01","52.07","9228.0","9.88","39.01","22.57","93423.0","394.97","228.5"
"203","2009","12","Uttar Pradesh","Pilibhit","63163.0","65.59","269.85","158.71","24189.0","25.12","103.34","60.78","8949.0","9.29","38.23","22.49","96301.0","411.42","241.97"
"203","2010","12","Uttar Pradesh","Pilibhit","52339.0","69.36","224.26","132.74","14966.0","19.83","64.12","37.96","8152.0","10.8","34.93","20.67","75457.0","323.31","191.37"
"203","2011","12","Uttar Pradesh","Pilibhit","68244.0","78.02","291.47","173.27","15893.0","18.17","67.88","40.35","3328.0","3.8","14.21","8.45","87465.0","373.56","222.08"
"203","2012","12","Uttar Pradesh","Pilibhit","64222.0","73.57","274.93","164.9","19069.0","21.84","81.63","48.96","4006.0","4.59","17.15","10.29","87297.0","373.72","224.15"
"203","2013","12","Uttar Pradesh","Pilibhit","48914.0","77.49","210.08","124.81","12496.0","19.8","53.67","31.88","1716.0","2.72","7.37","4.38","63126.0","271.11","161.07"
"203","2014","12","Uttar Pradesh","Pilibhit","52073.0","74.23","219.51","130.4","15013.0","21.4","63.29","37.59","3065.0","4.37","12.92","7.68","70150.0","295.72","175.66"
"203","2015","12","Uttar Pradesh","Pilibhit","48380.0","69.29","206.78","117.52","18125.0","25.96","77.47","44.03","3318.0","4.75","14.18","8.06","69823.0","298.44","169.6"
"203","2016","12","Uttar Pradesh","Pilibhit","47488.0","67.87","203.63","115.4","18568.0","26.54","79.62","45.12","3914.0","5.59","16.78","9.51","69970.0","300.03","170.03"
"203","2017","12","Uttar Pradesh","Pilibhit","43952.0","72.53","-1.0","-1.0","12733.0","21.01","-1.0","-1.0","3917.0","6.46","-1.0","-1.0","60602.0","-1.0","-1.0"
"204","1966","12","Uttar Pradesh","Rampur","1008.0","84.07","5.32","3.91","187.0","15.6","0.99","0.73","4.0","0.33","0.02","0.02","1199.0","6.33","4.65"
"204","1967","12","Uttar Pradesh","Rampur","1609.0","63.1","8.51","6.01","587.0","23.02","3.1","2.19","354.0","13.88","1.87","1.32","2550.0","13.48","9.53"
"204","1968","12","Uttar Pradesh","Rampur","2753.0","64.62","14.59","10.29","960.0","22.54","5.09","3.59","547.0","12.84","2.9","2.04","4260.0","22.58","15.92"
"204","1969","12","Uttar Pradesh","Rampur","4565.0","65.29","24.14","16.96","1480.0","21.17","7.83","5.5","947.0","13.54","5.01","3.52","6992.0","36.98","25.98"
"204","1970","12","Uttar Pradesh","Rampur","5163.0","65.44","27.38","19.04","1876.0","23.78","9.95","6.92","851.0","10.79","4.51","3.14","7890.0","41.83","29.09"
"204","1971","12","Uttar Pradesh","Rampur","5956.0","68.41","32.04","22.14","1676.0","19.25","9.02","6.23","1074.0","12.34","5.78","3.99","8706.0","46.83","32.36"
"204","1972","12","Uttar Pradesh","Rampur","5956.0","68.41","32.53","22.32","1676.0","19.25","9.15","6.28","1074.0","12.34","5.87","4.03","8706.0","47.55","32.63"
"204","1973","12","Uttar Pradesh","Rampur","5838.0","72.87","32.02","21.91","1427.0","17.81","7.83","5.35","746.0","9.31","4.09","2.8","8011.0","43.94","30.06"
"204","1974","12","Uttar Pradesh","Rampur","5288.0","79.39","29.15","19.86","1045.0","15.69","5.76","3.93","328.0","4.92","1.81","1.23","6661.0","36.72","25.02"
"204","1975","12","Uttar Pradesh","Rampur","6895.0","77.38","38.14","25.41","1247.0","13.99","6.9","4.59","769.0","8.63","4.25","2.83","8911.0","49.29","32.83"
"204","1976","12","Uttar Pradesh","Rampur","9153.0","75.53","49.64","32.29","1922.0","15.86","10.42","6.78","1043.0","8.61","5.66","3.68","12118.0","65.72","42.74"
"204","1977","12","Uttar Pradesh","Rampur","10793.0","73.93","57.78","37.99","2624.0","17.98","14.05","9.24","1181.0","8.09","6.32","4.16","14598.0","78.15","51.38"
"204","1978","12","Uttar Pradesh","Rampur","13135.0","69.96","70.58","44.77","4102.0","21.85","22.04","13.98","1539.0","8.2","8.27","5.25","18776.0","100.89","63.99"
"204","1979","12","Uttar Pradesh","Rampur","14690.0","72.43","80.63","53.46","4000.0","19.72","21.95","14.56","1593.0","7.85","8.74","5.8","20283.0","111.32","73.81"
"204","1980","12","Uttar Pradesh","Rampur","16687.0","74.36","88.24","57.19","4071.0","18.14","21.53","13.95","1684.0","7.5","8.91","5.77","22442.0","118.68","76.91"
"204","1981","12","Uttar Pradesh","Rampur","18723.0","76.19","98.54","62.41","4109.0","16.72","21.63","13.7","1742.0","7.09","9.17","5.81","24574.0","129.34","81.91"
"204","1982","12","Uttar Pradesh","Rampur","22142.0","69.08","116.29","74.8","7029.0","21.93","36.92","23.75","2881.0","8.99","15.13","9.73","32052.0","168.34","108.28"
"204","1983","12","Uttar Pradesh","Rampur","25175.0","75.86","131.94","81.55","5617.0","16.92","29.44","18.2","2396.0","7.22","12.56","7.76","33188.0","173.94","107.51"
"204","1984","12","Uttar Pradesh","Rampur","27454.0","79.56","144.49","88.28","5130.0","14.87","27.0","16.5","1923.0","5.57","10.12","6.18","34507.0","181.62","110.95"
"204","1985","12","Uttar Pradesh","Rampur","14864.0","80.19","78.31","48.53","2394.0","12.92","12.61","7.82","1277.0","6.89","6.73","4.17","18535.0","97.66","60.51"
"204","1986","12","Uttar Pradesh","Rampur","22379.0","71.93","117.66","71.0","6557.0","21.07","34.47","20.8","2177.0","7.0","11.45","6.91","31113.0","163.58","98.71"
"204","1987","12","Uttar Pradesh","Rampur","23708.0","75.71","124.52","77.33","5623.0","17.96","29.53","18.34","1984.0","6.34","10.42","6.47","31315.0","164.47","102.14"
"204","1988","12","Uttar Pradesh","Rampur","29491.0","78.16","154.4","92.71","6141.0","16.28","32.15","19.31","2099.0","5.56","10.99","6.6","37731.0","197.54","118.61"
"204","1989","12","Uttar Pradesh","Rampur","28496.0","74.06","148.26","88.63","8169.0","21.23","42.5","25.41","1812.0","4.71","9.43","5.64","38477.0","200.19","119.68"
"204","1990","12","Uttar Pradesh","Rampur","30630.0","76.03","159.56","95.38","7572.0","18.8","39.45","23.58","2084.0","5.17","10.86","6.49","40286.0","209.87","125.45"
"204","1991","12","Uttar Pradesh","Rampur","32085.0","77.32","168.03","101.56","7150.0","17.23","37.44","22.63","2263.0","5.45","11.85","7.16","41498.0","217.32","131.36"
"204","1992","12","Uttar Pradesh","Rampur","32648.0","79.79","168.92","98.16","6668.0","16.3","34.5","20.05","1600.0","3.91","8.28","4.81","40916.0","211.7","123.02"
"204","1993","12","Uttar Pradesh","Rampur","34688.0","82.2","180.42","103.94","6329.0","15.0","32.92","18.96","1181.0","2.8","6.14","3.54","42198.0","219.48","126.44"
"204","1994","12","Uttar Pradesh","Rampur","35653.0","78.04","184.95","106.9","7582.0","16.6","39.33","22.73","2448.0","5.36","12.7","7.34","45683.0","236.98","136.97"
"204","1995","12","Uttar Pradesh","Rampur","33238.0","81.6","173.12","98.68","5888.0","14.45","30.67","17.48","1608.0","3.95","8.38","4.77","40734.0","212.17","120.93"
"204","1996","12","Uttar Pradesh","Rampur","33650.0","79.71","173.65","96.15","6400.0","15.16","33.03","18.29","2167.0","5.13","11.18","6.19","42217.0","217.86","120.62"
"204","1997","12","Uttar Pradesh","Rampur","38896.0","79.2","211.66","111.55","7341.0","14.95","39.95","21.05","2872.0","5.85","15.63","8.24","49109.0","267.23","140.83"
"204","1998","12","Uttar Pradesh","Rampur","40270.0","82.33","208.38","113.93","6573.0","13.44","34.01","18.6","2069.0","4.23","10.71","5.85","48912.0","253.1","138.38"
"204","1999","12","Uttar Pradesh","Rampur","38152.0","75.01","199.11","107.23","9639.0","18.95","50.31","27.09","3074.0","6.04","16.04","8.64","50865.0","265.46","142.97"
"204","2000","12","Uttar Pradesh","Rampur","34071.0","76.74","177.53","96.65","7189.0","16.19","37.46","20.39","3139.0","7.07","16.36","8.9","44399.0","231.34","125.94"
"204","2001","12","Uttar Pradesh","Rampur","40253.0","76.16","207.78","111.57","8814.0","16.68","45.5","24.43","3787.0","7.17","19.55","10.5","52854.0","272.82","146.49"
"204","2002","12","Uttar Pradesh","Rampur","37187.0","72.73","192.53","108.16","8442.0","16.51","43.71","24.55","5500.0","10.76","28.48","16.0","51129.0","264.71","148.71"
"204","2003","12","Uttar Pradesh","Rampur","36713.0","72.83","190.46","101.9","8881.0","17.62","46.07","24.65","4813.0","9.55","24.97","13.36","50407.0","261.5","139.91"
"204","2004","12","Uttar Pradesh","Rampur","37010.0","72.31","190.01","100.55","8577.0","16.76","44.03","23.3","5597.0","10.94","28.73","15.21","51184.0","262.78","139.06"
"204","2005","12","Uttar Pradesh","Rampur","38169.0","69.37","196.28","104.65","10460.0","19.01","53.79","28.68","6390.0","11.61","32.86","17.52","55019.0","282.93","150.85"
"204","2006","12","Uttar Pradesh","Rampur","42046.0","72.63","217.06","114.7","10647.0","18.39","54.96","29.04","5194.0","8.97","26.81","14.17","57887.0","298.83","157.91"
"204","2007","12","Uttar Pradesh","Rampur","36788.0","80.57","190.37","99.03","5978.0","13.09","30.94","16.09","2893.0","6.34","14.97","7.79","45659.0","236.28","122.91"
"204","2008","12","Uttar Pradesh","Rampur","38645.0","79.18","201.92","104.66","6242.0","12.79","32.61","16.9","3919.0","8.03","20.48","10.61","48806.0","255.01","132.18"
"204","2009","12","Uttar Pradesh","Rampur","38819.0","75.26","200.88","106.85","7275.0","14.1","37.65","20.02","5485.0","10.63","28.38","15.1","51578.0","266.91","141.96"
"204","2010","12","Uttar Pradesh","Rampur","29279.0","72.68","152.68","78.42","7959.0","19.76","41.5","21.32","3049.0","7.57","15.9","8.17","40287.0","210.08","107.91"
"204","2011","12","Uttar Pradesh","Rampur","32331.0","79.66","168.78","87.38","6498.0","16.01","33.92","17.56","1759.0","4.33","9.18","4.75","40588.0","211.88","109.69"
"204","2012","12","Uttar Pradesh","Rampur","45815.0","75.69","238.5","125.03","12791.0","21.13","66.59","34.91","1920.0","3.17","9.99","5.24","60526.0","315.08","165.18"
"204","2013","12","Uttar Pradesh","Rampur","41023.0","77.34","214.45","113.89","10571.0","19.93","55.26","29.35","1447.0","2.73","7.56","4.02","53041.0","277.28","147.26"
"204","2014","12","Uttar Pradesh","Rampur","43748.0","74.17","229.26","129.09","12643.0","21.44","66.26","37.31","2589.0","4.39","13.57","7.64","58980.0","309.09","174.04"
"204","2015","12","Uttar Pradesh","Rampur","40398.0","69.26","215.55","114.57","15141.0","25.96","80.79","42.94","2789.0","4.78","14.88","7.91","58328.0","311.22","165.42"
"204","2016","12","Uttar Pradesh","Rampur","39900.0","67.81","212.9","112.63","15661.0","26.62","83.56","44.21","3276.0","5.57","17.48","9.25","58837.0","313.94","166.08"
"204","2017","12","Uttar Pradesh","Rampur","26893.0","80.78","-1.0","-1.0","5349.0","16.07","-1.0","-1.0","1051.0","3.16","-1.0","-1.0","33293.0","-1.0","-1.0"
"205","1966","12","Uttar Pradesh","Bijnor","2248.0","88.57","7.05","5.77","285.0","11.23","0.89","0.73","5.0","0.2","0.02","0.01","2538.0","7.96","6.51"
"205","1967","12","Uttar Pradesh","Bijnor","3004.0","66.11","9.29","7.37","1000.0","22.01","3.09","2.45","540.0","11.88","1.67","1.33","4544.0","14.06","11.15"
"205","1968","12","Uttar Pradesh","Bijnor","4509.0","71.5","13.93","11.16","1175.0","18.63","3.63","2.91","622.0","9.86","1.92","1.54","6306.0","19.47","15.61"
"205","1969","12","Uttar Pradesh","Bijnor","7318.0","71.91","22.33","17.7","1997.0","19.62","6.09","4.83","861.0","8.46","2.63","2.08","10176.0","31.05","24.62"
"205","1970","12","Uttar Pradesh","Bijnor","6712.0","71.98","20.67","15.98","1708.0","18.32","5.26","4.07","905.0","9.71","2.79","2.15","9325.0","28.72","22.2"
"205","1971","12","Uttar Pradesh","Bijnor","9405.0","76.53","29.33","22.97","1699.0","13.82","5.3","4.15","1186.0","9.65","3.7","2.9","12290.0","38.32","30.01"
"205","1972","12","Uttar Pradesh","Bijnor","9405.0","76.53","29.71","23.57","1699.0","13.82","5.37","4.26","1186.0","9.65","3.75","2.97","12290.0","38.82","30.8"
"205","1973","12","Uttar Pradesh","Bijnor","9238.0","72.21","29.43","23.6","2520.0","19.7","8.03","6.44","1036.0","8.1","3.3","2.65","12794.0","40.76","32.68"
"205","1974","12","Uttar Pradesh","Bijnor","8790.0","83.06","28.25","22.88","1030.0","9.73","3.31","2.68","763.0","7.21","2.45","1.99","10583.0","34.02","27.55"
"205","1975","12","Uttar Pradesh","Bijnor","11301.0","76.41","35.79","27.86","2119.0","14.33","6.71","5.22","1370.0","9.26","4.34","3.38","14790.0","46.83","36.46"
"205","1976","12","Uttar Pradesh","Bijnor","13532.0","78.14","40.02","32.05","2464.0","14.23","7.29","5.84","1321.0","7.63","3.91","3.13","17317.0","51.22","41.02"
"205","1977","12","Uttar Pradesh","Bijnor","14700.0","77.25","42.73","33.7","2788.0","14.65","8.1","6.39","1541.0","8.1","4.48","3.53","19029.0","55.32","43.62"
"205","1978","12","Uttar Pradesh","Bijnor","18922.0","76.15","54.22","41.38","3253.0","13.09","9.32","7.11","2672.0","10.75","7.66","5.84","24847.0","71.19","54.33"
"205","1979","12","Uttar Pradesh","Bijnor","18098.0","77.79","52.66","40.76","3456.0","14.85","10.06","7.78","1712.0","7.36","4.98","3.86","23266.0","67.69","52.4"
"205","1980","12","Uttar Pradesh","Bijnor","23858.0","80.14","69.15","50.59","3966.0","13.32","11.5","8.41","1948.0","6.54","5.65","4.13","29772.0","86.3","63.13"
"205","1981","12","Uttar Pradesh","Bijnor","25588.0","80.72","74.13","56.87","4117.0","12.99","11.93","9.15","1994.0","6.29","5.78","4.43","31699.0","91.83","70.46"
"205","1982","12","Uttar Pradesh","Bijnor","29103.0","73.34","84.02","63.91","7345.0","18.51","21.2","16.13","3233.0","8.15","9.33","7.1","39681.0","114.55","87.13"
"205","1983","12","Uttar Pradesh","Bijnor","30884.0","81.91","88.85","65.56","4822.0","12.79","13.87","10.24","1998.0","5.3","5.75","4.24","37704.0","108.47","80.03"
"205","1984","12","Uttar Pradesh","Bijnor","35945.0","82.36","104.43","74.75","5600.0","12.83","16.27","11.64","2099.0","4.81","6.1","4.36","43644.0","126.8","90.75"
"205","1985","12","Uttar Pradesh","Bijnor","23726.0","86.26","69.19","50.1","2564.0","9.32","7.48","5.41","1216.0","4.42","3.55","2.57","27506.0","80.22","58.08"
"205","1986","12","Uttar Pradesh","Bijnor","39819.0","77.62","116.57","86.17","8636.0","16.83","25.28","18.69","2847.0","5.55","8.33","6.16","51302.0","150.18","111.02"
"205","1987","12","Uttar Pradesh","Bijnor","32719.0","75.24","96.49","95.17","7462.0","17.16","22.01","21.7","3305.0","7.6","9.75","9.61","43486.0","128.24","126.49"
"205","1988","12","Uttar Pradesh","Bijnor","42307.0","81.19","123.45","93.64","9481.0","18.19","27.67","20.98","320.0","0.61","0.93","0.71","52108.0","152.05","115.33"
"205","1989","12","Uttar Pradesh","Bijnor","42476.0","80.46","124.67","91.17","8353.0","15.82","24.52","17.93","1960.0","3.71","5.75","4.21","52789.0","154.94","113.31"
"205","1990","12","Uttar Pradesh","Bijnor","43460.0","79.29","127.24","98.99","8631.0","15.75","25.27","19.66","2718.0","4.96","7.96","6.19","54809.0","160.47","124.84"
"205","1991","12","Uttar Pradesh","Bijnor","47674.0","82.71","139.97","106.15","7500.0","13.01","22.02","16.7","2464.0","4.27","7.23","5.49","57638.0","169.23","128.33"
"205","1992","12","Uttar Pradesh","Bijnor","51085.0","90.31","150.42","110.67","4441.0","7.85","13.08","9.62","1041.0","1.84","3.07","2.26","56567.0","166.56","122.54"
"205","1993","12","Uttar Pradesh","Bijnor","57797.0","92.05","170.7","126.9","4303.0","6.85","12.71","9.45","686.0","1.09","2.03","1.51","62786.0","185.44","137.85"
"205","1994","12","Uttar Pradesh","Bijnor","58979.0","87.09","173.79","131.57","7841.0","11.58","23.1","17.49","900.0","1.33","2.65","2.01","67720.0","199.55","151.07"
"205","1995","12","Uttar Pradesh","Bijnor","60740.0","92.29","178.4","135.6","4346.0","6.6","12.76","9.7","726.0","1.1","2.13","1.62","65812.0","193.3","146.92"
"205","1996","12","Uttar Pradesh","Bijnor","65136.0","88.12","191.24","142.0","8086.0","10.94","23.74","17.63","697.0","0.94","2.05","1.52","73919.0","217.03","161.15"
"205","1997","12","Uttar Pradesh","Bijnor","74885.0","82.21","219.48","164.72","15070.0","16.54","44.17","33.15","1134.0","1.24","3.32","2.49","91089.0","266.97","200.37"
"205","1998","12","Uttar Pradesh","Bijnor","71773.0","86.42","212.67","160.16","9955.0","11.99","29.5","22.22","1319.0","1.59","3.91","2.94","83047.0","246.07","185.32"
"205","1999","12","Uttar Pradesh","Bijnor","60930.0","86.98","180.09","137.06","8644.0","12.34","25.55","19.44","474.0","0.68","1.4","1.07","70048.0","207.04","157.57"
"205","2000","12","Uttar Pradesh","Bijnor","57687.0","85.99","170.62","126.52","8784.0","13.09","25.98","19.27","616.0","0.92","1.82","1.35","67087.0","198.42","147.14"
